,fecha,Consumo,Cargo fijo,Cargo variable,Dias,subsidio,Total,Tipo,Precio kWh,Dia,precio_kWh,inflacion_acumulada,T_mean,T_max,T_min,longitud,latitud,precio_kWh_norm,use,precio_kWh_norm_nan,precio_kWh_norm_new
50,2006-02-20,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.0144993321923428,26.49,32.89,21.01,-58.2813,-34.8115,0.2546944012684785,-1,,0.12868864945738231
51,2006-02-21,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.014643981893326,27.26,33.37,21.98,-58.2813,-34.8115,0.2546580915188096,-1,,0.12868864945738231
52,2006-02-22,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.0147886522188037,25.22,31.12,21.01,-58.2813,-34.8115,0.25462178694553217,-1,,0.12868864945738231
53,2006-02-23,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.014933343171717,21.83,23.5,20.8,-58.2813,-34.8115,0.2545854875479082,-1,,0.12868864945738231
54,2006-02-24,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.015078054755006,17.74,20.48,15.59,-58.2813,-34.8115,0.2545491933252,-1,,0.12868864945738231
55,2006-02-25,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.0152227869716133,18.69,22.98,14.48,-58.2813,-34.8115,0.2545129042766696,-1,,0.12868864945738231
56,2006-02-26,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.0153675398244804,20.96,25.27,15.97,-58.2813,-34.8115,0.25447662040157953,-1,,0.12868864945738231
57,2006-02-27,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.0155123133165498,18.84,22.08,14.84,-58.2813,-34.8115,0.2544403416991921,-1,,0.12868864945738231
58,2006-02-28,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.015657107450764,19.2,24.64,13.25,-58.2813,-34.8115,0.25440406816877004,-1,,0.12868864945738231
59,2006-03-01,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.0160479999999985,21.58,26.62,17.73,-58.2813,-34.8115,0.2543061941955502,-1,,0.12868864945738231
60,2006-03-02,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.0164390429907388,22.26,27.37,17.25,-58.2813,-34.8115,0.2542083578762669,-1,,0.12868864945738231
61,2006-03-03,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.0168302364808854,19.7,21.6,16.05,-58.2813,-34.8115,0.25411055919643394,-1,,0.12868864945738231
62,2006-03-04,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.0172215805283604,17.94,22.62,14.51,-58.2813,-34.8115,0.25401279814157074,-1,,0.12868864945738231
63,2006-03-05,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.017613075191108,19.56,25.49,13.53,-58.2813,-34.8115,0.2539150746972023,-1,,0.12868864945738231
64,2006-03-06,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.0180047205270957,20.69,26.18,15.19,-58.2813,-34.8115,0.2538173888488591,-1,,0.12868864945738231
65,2006-03-07,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.0183965165943116,22.36,27.82,15.94,-58.2813,-34.8115,0.25371974058207736,-1,,0.12868864945738231
66,2006-03-08,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.018788463450768,22.2,27.04,17.9,-58.2813,-34.8115,0.25362212988239863,-1,,0.12868864945738231
67,2006-03-09,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.0191805611544982,19.28,24.69,13.64,-58.2813,-34.8115,0.25352455673537017,-1,,0.12868864945738231
68,2006-03-10,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.0195728097635584,16.26,22.49,9.72,-58.2813,-34.8115,0.25342702112654486,-1,,0.12868864945738231
69,2006-03-11,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.019965209336027,17.95,22.61,13.48,-58.2813,-34.8115,0.25332952304148093,-1,,0.12868864945738231
70,2006-03-12,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.0203577599300049,20.87,26.56,16.52,-58.2813,-34.8115,0.2532320624657424,-1,,0.12868864945738231
